666020888022790149,507,2539
666029285002620928,47,128
666033412701032449,43,124
666044226329800704,139,296
666049248165822465,41,108
666050758794694657,59,132
666051853826850816,841,1207
666055525042405380,242,430
666057090499244032,140,292
666058600524156928,57,110
666063827256086533,215,470
666071193221509120,59,145
666073100786774016,162,318
666082916733198337,44,116
666094000022159362,72,163
666099513787052032,67,153
666102155909144576,12,80
666104133288665088,6475,14150
666268910803644416,35,102
666273097616637952,76,174
666287406224695296,64,146
666293911632134144,352,494
666337882303524864,90,196
666345417576210432,133,288
666353288456101888,71,217
666362758909284353,564,770
666373753744588802,92,186
666396247373291520,84,166
666407126856765440,40,107
666411507551481857,323,441
666418789513326592,45,124
666421158376562688,111,316
666428276349472768,83,165
666430724426358785,196,316
666435652385423360,53,165
666437273139982337,48,125
666447344410484738,20,105
666454714377183233,208,518
666644823164719104,83,233
666649482315059201,628,1121
666691418707132416,47,189
666701168228331520,219,432
666739327293083650,66,238
666776908487630848,175,350
666781792255496192,198,388
666786068205871104,488,765
666804364988780544,94,242
666817836334096384,253,521
666826780179869698,97,255
666835007768551424,80,217
666837028449972224,559,825
666983947667116034,991,2566
666996132027977728,95,247
667012601033924608,225,451
667044094246576128,51,186
667062181243039745,55,220
667065535570550784,48,168
667073648344346624,124,407
667090893657276420,129,336
667119796878725120,128,331
667138269671505920,2242,4647
667152164079423490,17359,48146
667160273090932737,62,259
667165590075940865,1157,2711
667171260800061440,91,222
667174963120574464,84,246
667176164155375616,467,613
667177989038297088,55,192
667182792070062081,6295,14439
667188689915760640,422,750
667192066997374976,109,390
667200525029539841,264,621
667211855547486208,245,498
667369227918143488,167,369
667393430834667520,58,198
667405339315146752,221,472
667435689202614272,84,307
667437278097252352,242,452
667443425659232256,591,790
667453023279554560,91,317
667455448082227200,60,194
667470559035432960,100,259
667491009379606528,232,537
667495797102141441,276,527
667502640335572993,223,538
667509364010450944,2167,6858
667517642048163840,196,370
667524857454854144,1131,1719
667530908589760512,245,475
667534815156183040,551,829
667538891197542400,67,208
667544320556335104,533,878
667546741521195010,127,337
667549055577362432,2330,5866
667550882905632768,33,0
667550904950915073,35,0
667724302356258817,326,491
667728196545200128,152,380
667766675769573376,222,447
667773195014021121,58,239
667782464991965184,249,417
667793409583771648,336,708
667801013445750784,97,333
667806454573760512,510,1069
667832474953625600,63,292
667861340749471744,78,245
667866724293877760,1058,3043
667873844930215936,417,639
667878741721415682,122,397
667885044254572545,499,832
667886921285246976,1118,1920
667902449697558528,385,859
667911425562669056,311,497
667915453470232577,58,215
667924896115245057,113,307
667937095915278337,815,1291
668113020489474048,251,676
668142349051129856,294,576
668154635664932864,325,505
668171859951755264,201,502
668190681446379520,200,662
668204964695683073,200,560
668221241640230912,203,517
668226093875376128,106,304
668237644992782336,2922,6321
668248472370458624,501,1013
668256321989451776,636,1327
668268907921326080,243,564
668274247790391296,235,840
